locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1126,"Riverside Road , Liaoyang , Liaoyang",,41.176884,123.419859,-,-,-,-,-,-,-,-,0,-,-,20150318090000
1127,Fuxin,,42.02373,121.675733,61,62,33,4,26,26,9,-16,0,15,3,20150318090000
1393,"Yulong Xinchengzi Station, Fuxin",,42.050687,121.664588,30,-,25,4,7,10,-,-,0,-,-,20150318090000
265,"Environment protection office, Fuxin",,42.00535,121.631585,42,32,-,-,36,-,-,-,0,-,-,20150318090000
266,"Agricultural Area, Fuxin",,42.071291,121.696445,70,24,14,5,20,30,-,-,0,-,-,20150318090000
267,"Industrial Area, Fuxin",,42.041052,121.715554,55,21,11,5,6,13,5,-14,0,23,5,20150318090000
1128,"Yulong Metro , Fuxin , Fuxin",,42.035091,121.666531,154,-,8,14,44,11,12,-10,0,19,5,20150318090000
1129,"Dongyuan , Fuxin , Fuxin",,42.029119,121.681553,-,-,-,-,-,-,-,-,0,-,-,20150318090000
268,"City Monitoring Station, Jinan",,36.662614,117.054645,214,147,15,54,70,24,11,2,1015,41,2,20150318090000
269,"Shandong Institute of Economics, Jinan",,36.63819,117.074975,192,100,24,18,19,11,13,10,1015,74,1,20150318090000
270,"Quancheng Plaza, Jinan",,36.661711,117.027043,179,127,23,34,25,12,13,10,1015,74,1,20150318090000
271,"Kegansuo, Jinan",,36.611582,116.99384,178,110,41,70,11,15,13,10,1015,74,1,20150318090000
272,"Agriculture Science Institute, Jinan",,36.663115,116.95063,124,66,29,22,23,13,5,1,1016,69,3,20150318090000
273,"Lanxiang technical school, Jinan",,36.700421,116.95342,212,128,6,28,31,15,12,10,1018,81,2,20150318090000
274,"Chemical factory, Jinan",,36.687463,116.994406,190,109,-,34,18,-,-,-,0,-,-,20150318090000
275,"Provincial Seed Warehouse, Jinan",,36.685706,117.066348,195,183,27,47,44,15,-,-,0,-,-,20150318090000
412,Heze,,35.233354,115.486503,183,112,26,14,13,17,8,5,0,82,6,20150318090000
276,"Shandong Architecture University, Jinan",,36.681732,117.191868,178,96,9,20,17,15,13,10,1015,74,1,20150318090000
